number,state,objective,hidden_size,attention_head_size,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss,use_static_features,static_categoricals,static_reals
0,TrialState.COMPLETE,10.828993797302246,32,8,0.18033450352296262,0.0011114989443094978,64,10.828993797302246,18.245378494262695,0.8239414691925049,0.8239414691925049,0.8084371306026652,22.89959716796875,7.999,0.8701572418212891,0.6839037537574768,285.0,10.828993797302246,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
1,TrialState.COMPLETE,11.8029203414917,96,8,0.04184815819561255,0.00027010527749605503,128,11.802919387817383,20.457788467407227,0.7786555886268616,0.7786555886268616,0.7367449193771947,24.153615951538086,7.999,0.8607515096664429,1.4998937845230103,285.0,11.8029203414917,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
2,TrialState.COMPLETE,11.515814781188965,64,8,0.2896896099223678,0.0015635108708133452,128,11.515814781188965,19.82903289794922,0.7920522093772888,0.7920522093772888,0.7104614970593568,24.484132766723633,7.999,0.8598192930221558,2.0798587799072266,285.0,11.515814781188965,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
3,TrialState.COMPLETE,10.75346565246582,64,1,0.15602040635334324,0.000642033033629786,64,10.753466606140137,17.95785140991211,0.8294467926025391,0.8294467926025391,0.7835025893487039,23.791194915771484,7.999,0.8741998076438904,2.9643051624298096,285.0,10.75346565246582,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
4,TrialState.COMPLETE,10.064443588256836,16,8,0.1166031869068446,0.0002516607127550297,32,10.064443588256836,17.664461135864258,0.8349741697311401,0.8349741697311401,0.8113429447758946,22.26598358154297,7.999,0.8749440312385559,1.2123184204101562,285.0,10.064443588256836,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
5,TrialState.COMPLETE,11.200075149536133,64,1,0.24463842853645024,0.0011069143219393448,64,11.200075149536133,18.992034912109375,0.809237003326416,0.809237003326416,0.7756165815770031,23.91749382019043,7.999,0.8623622059822083,0.9670448303222656,285.0,11.200075149536133,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
6,TrialState.COMPLETE,12.091083526611328,64,1,0.21888185350141923,0.000874479618932312,32,12.091083526611328,20.58877944946289,0.7758119702339172,0.7758119702339172,0.742104373489783,25.268709182739258,7.999,0.8539478182792664,2.635758399963379,285.0,12.091083526611328,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
7,TrialState.COMPLETE,11.434389114379883,96,2,0.032367428097991334,0.00011128194768838959,32,11.43438720703125,20.41352653503418,0.7796123623847961,0.7796123623847961,0.7163694047595377,22.78011131286621,7.999,0.8656275272369385,0.9747121930122375,285.0,11.434389114379883,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
8,TrialState.COMPLETE,11.058756828308105,16,4,0.2789092957027719,0.0015620386984526499,64,11.058755874633789,19.769269943237305,0.7933038473129272,0.7933038473129272,0.808799291871293,23.001840591430664,7.999,0.8644264936447144,1.7242155075073242,285.0,11.058756828308105,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
9,TrialState.COMPLETE,10.930971145629883,32,1,0.1281323365878769,0.0016155001304356408,32,10.9309720993042,18.909610748291016,0.8108891844749451,0.8108891844749451,0.7935570208113262,21.840322494506836,7.999,0.8786445260047913,1.1552809476852417,285.0,10.930971145629883,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
10,TrialState.COMPLETE,11.012415885925293,16,4,0.09308702882865652,0.0003253425182484388,32,11.012415885925293,19.546878814697266,0.7979280352592468,0.7979280352592468,0.7509780175522914,23.084182739257812,7.999,0.8690264821052551,2.2610414028167725,285.0,11.012415885925293,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
11,TrialState.COMPLETE,10.469520568847656,16,2,0.11773586763078972,0.0004292699868496588,64,10.469521522521973,18.76495361328125,0.8137714862823486,0.8137714862823486,0.8322785941750899,21.736934661865234,7.999,0.872100830078125,1.2546745538711548,285.0,10.469520568847656,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
12,TrialState.COMPLETE,12.053529739379883,16,2,0.09755991130643576,0.00028271340912583686,64,12.053529739379883,21.859472274780273,0.7472852468490601,0.7472852468490601,0.6769672395930966,25.248401641845703,7.999,0.8469774723052979,2.953540325164795,285.0,12.053529739379883,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
13,TrialState.COMPLETE,14.067724227905273,16,2,0.06633528365421706,0.00012765182347816972,32,14.06772232055664,24.291685104370117,0.687919557094574,0.687919557094574,0.5938886698479894,28.647661209106445,7.999,0.8105029463768005,2.9121642112731934,285.0,14.067724227905273,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
14,TrialState.COMPLETE,12.235610008239746,16,2,0.12379960209828518,0.00043993709785773906,128,12.23560905456543,22.74730682373047,0.7263400554656982,0.7263400554656982,0.648125709592588,23.51600456237793,7.999,0.8618938326835632,1.1788192987442017,285.0,12.235610008239746,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
15,TrialState.COMPLETE,14.697332382202148,16,8,0.17978842772467574,0.00017901479162808992,64,14.697332382202148,26.9176025390625,0.6168013215065002,0.6168013215065002,0.517463302597764,28.31159019470215,7.999,0.8146876096725464,1.7381815910339355,285.0,14.697332382202148,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
16,TrialState.COMPLETE,11.056696891784668,16,8,0.007664848443162897,0.0025691628409684796,32,11.056697845458984,19.43065643310547,0.8003238439559937,0.8003238439559937,0.8122168295570881,22.990917205810547,7.999,0.868516206741333,1.5841025114059448,285.0,11.056696891784668,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
17,TrialState.COMPLETE,13.574474334716797,16,2,0.0856185242664068,0.00018778076270349093,64,13.574474334716797,22.631698608398438,0.7291146516799927,0.7291146516799927,0.7204104699063267,29.1536922454834,7.999,0.8071645498275757,2.7173779010772705,285.0,13.574474334716797,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
18,TrialState.COMPLETE,11.970870971679688,96,4,0.13798924791501443,0.0004749518586909585,32,11.970870018005371,20.497713088989258,0.7777907848358154,0.7777907848358154,0.7461041581195635,24.081254959106445,7.999,0.8556973934173584,1.4970647096633911,285.0,11.970870971679688,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
19,TrialState.COMPLETE,10.96973705291748,32,8,0.06510734169323854,0.0006466570686126307,128,10.96973705291748,18.912994384765625,0.8108214735984802,0.8108214735984802,0.8808145575350883,22.196975708007812,7.999,0.8695750832557678,0.9460748434066772,285.0,10.96973705291748,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
20,TrialState.COMPLETE,13.830724716186523,16,2,0.17413080212318152,0.0001839970251257858,64,13.830724716186523,25.399545669555664,0.6588046550750732,0.6588046550750732,0.5777032053480387,25.986745834350586,7.999,0.8406593203544617,2.1532061100006104,285.0,13.830724716186523,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
21,TrialState.COMPLETE,11.281787872314453,64,1,0.1601602203038124,0.00038136049582565887,64,11.281787872314453,19.119768142700195,0.8066623210906982,0.8066623210906982,0.8321474391730624,23.866073608398438,7.999,0.8600440621376038,1.0846234560012817,285.0,11.281787872314453,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
22,TrialState.COMPLETE,11.291816711425781,64,1,0.21251032570622433,0.000589845679234055,64,11.291815757751465,19.695999145507812,0.7948331236839294,0.7948331236839294,0.7490927119403543,22.54921531677246,7.999,0.8787862062454224,1.8368333578109741,285.0,11.291816711425781,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
23,TrialState.COMPLETE,10.894682884216309,64,1,0.10764376098492082,0.00023372910239724347,64,10.894683837890625,18.598159790039062,0.8170673847198486,0.8170673847198486,0.8079556404793942,23.304656982421875,7.999,0.8612869381904602,0.7429576516151428,285.0,10.894682884216309,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
24,TrialState.COMPLETE,10.377301216125488,16,1,0.2029235367769251,0.0007092392109069681,64,10.377301216125488,18.18003273010254,0.8252003192901611,0.8252003192901611,0.7723266892663898,22.479551315307617,7.999,0.8721534013748169,1.1415913105010986,285.0,10.377301216125488,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
