number,state,objective,hidden_size,attention_head_size,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss,use_static_features,static_categoricals,static_reals
0,TrialState.COMPLETE,7.707794666290283,32,8,0.18033450352296262,0.0011114989443094978,64,7.707794189453125,13.639747619628906,0.8394377827644348,0.8394377827644348,0.90888681234525,18.401456832885742,8.996,0.8978293538093567,1.472835898399353,588.0,7.707794666290283,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
1,TrialState.COMPLETE,7.938709735870361,96,8,0.04184815819561255,0.00027010527749605503,128,7.938709735870361,13.967877388000488,0.8316196203231812,0.8316196203231812,0.8379019144978126,19.297943115234375,8.996,0.8901971578598022,1.9727773666381836,588.0,7.938709735870361,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
2,TrialState.COMPLETE,7.85011100769043,64,8,0.2896896099223678,0.0015635108708133452,128,7.850111484527588,13.894072532653809,0.8333942890167236,0.8333942890167236,0.8788310096945346,18.901216506958008,8.996,0.8948564529418945,1.4871503114700317,588.0,7.85011100769043,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
3,TrialState.COMPLETE,8.09543514251709,64,1,0.15602040635334324,0.000642033033629786,64,8.095436096191406,14.181401252746582,0.8264322280883789,0.8264322280883789,0.8942380138173495,19.135173797607422,8.996,0.8914493322372437,1.9379242658615112,588.0,8.09543514251709,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
4,TrialState.COMPLETE,7.688796520233154,16,8,0.1166031869068446,0.0002516607127550297,32,7.688796043395996,13.345503807067871,0.8462905287742615,0.8462905287742615,0.8883137351043296,18.494279861450195,8.996,0.8966898322105408,2.1195662021636963,588.0,7.688796520233154,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
5,TrialState.COMPLETE,8.365748405456543,64,1,0.24463842853645024,0.0011069143219393448,64,8.36574935913086,14.692342758178711,0.8137000203132629,0.8137000203132629,0.7972309032548344,19.382099151611328,8.996,0.8906091451644897,1.4829339981079102,588.0,8.365748405456543,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
6,TrialState.COMPLETE,7.521817684173584,64,1,0.21888185350141923,0.000874479618932312,32,7.521817684173584,13.172149658203125,0.8502578735351562,0.8502578735351562,0.8791761363644048,18.18751335144043,8.996,0.901779294013977,0.973052442073822,588.0,7.521817684173584,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
7,TrialState.COMPLETE,9.314659118652344,96,2,0.032367428097991334,0.00011128194768838959,32,9.314658164978027,14.605205535888672,0.8159033060073853,0.8159033060073853,0.8117604364237605,24.534603118896484,8.996,0.8518103957176208,3.2932801246643066,588.0,9.314659118652344,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
8,TrialState.COMPLETE,7.601459503173828,16,4,0.2789092957027719,0.0015620386984526499,64,7.601459980010986,13.414214134216309,0.8447036743164062,0.8447036743164062,0.8650820630526831,18.197246551513672,8.996,0.8995047211647034,1.153488278388977,588.0,7.601459503173828,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
9,TrialState.COMPLETE,7.721430778503418,32,1,0.1281323365878769,0.0016155001304356408,32,7.721431255340576,13.926043510437012,0.8326267004013062,0.8326267004013062,0.8360951888028785,18.527816772460938,8.996,0.8973351716995239,1.1532148122787476,588.0,7.721430778503418,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
10,TrialState.COMPLETE,7.618692874908447,64,4,0.2088353410074963,0.0005654930319228464,32,7.6186933517456055,14.083220481872559,0.8288272619247437,0.8288272619247437,0.8447010552302407,17.781330108642578,8.996,0.8974977135658264,1.8917001485824585,588.0,7.618692874908447,True,[],"['static_climate_aridity', 'static_climate_p_seasonality', 'static_geology_geol_permeability', 'static_human_intervention_regulation_degree', 'static_soil_bedrock_depth', 'static_topography_elev_mean', 'static_topography_slope_mean', 'static_topography_area']"
