Modelo,Periodo,Lookback,Horizonte,NSE,LogNSE,KGE,RMSE_dry
LSTM,Passado,48,7,0.0056412968991073065,0.2727032155563731,0.028518447052897855,5.2660932806062295
LSTM,Recente,48,7,0.09991347772535597,0.3086598671950428,0.13081930531333785,5.661934971905648
LSTM,Passado,96,7,-0.027716407633201934,0.26005431068947105,-0.005707763790768539,4.531789588373865
LSTM,Recente,96,7,0.10666840458852178,0.3085162677396225,0.1559581051500759,5.327945707345729
LSTM,Passado,144,7,-0.03977092544365579,0.24643104880830136,-0.01968975961360675,5.5202211348587955
LSTM,Recente,144,7,0.10062565594806105,0.30925180252903917,0.13167412105069498,5.606178468405202
LSTM,Passado,192,7,-0.04091555571360628,0.22569260886275377,-0.010567321275552821,4.731662841772141
LSTM,Recente,192,7,0.1006747043213938,0.30926745826130575,0.13174585402044614,5.605338514788191
LSTM,Passado,48,15,-0.1517788270289333,0.09714889845490671,-0.21846806755233095,6.963589100721753
LSTM,Recente,48,15,-0.05314820521789865,0.13428700581523456,-0.034173288640933164,8.321600699798752
LSTM,Passado,96,15,-0.19460433850507175,0.03699245900469572,-0.2567339172029166,5.883813035829269
LSTM,Recente,96,15,-0.06456003437820423,0.12465497453578123,-0.06451561307033993,8.464657401363008
LSTM,Passado,144,15,-0.21722242350894416,0.032719039842662,-0.2949265557879899,7.955913970949882
LSTM,Recente,144,15,-0.06903389757029355,0.11891552677685224,-0.06520051892574341,8.10450230687503
LSTM,Passado,192,15,-0.20144979257547346,0.05097392187578631,-0.25900802356859276,6.639793655214337
LSTM,Recente,192,15,-0.04705115484343447,0.14152051605604932,-0.03268704550210577,8.119807889992808
LSTM,Passado,48,30,-0.21497591875567457,-0.038058867276239194,-0.28971703605997634,12.429211633208572
LSTM,Recente,48,30,-0.1472973428386546,0.02334969446169488,-0.15773681517081894,8.396085622735635
LSTM,Passado,96,30,-0.22359341134293942,-0.03413733520408879,-0.29735132001579045,10.998869175064161
LSTM,Recente,96,30,-0.1360497878621485,0.06884234615794815,-0.19213064966569648,9.582611449014856
LSTM,Passado,144,30,-0.23486371013527774,-0.06686475076404697,-0.3145665428392981,12.552022669780914
LSTM,Recente,144,30,-0.154944641707071,0.05896031996951967,-0.19901426070454065,9.582290012654097
LSTM,Passado,192,30,-0.23382433856917606,-0.07453754212955244,-0.2757073058461985,9.350452496845609
LSTM,Recente,192,30,-0.14727253599871304,0.051888286250891036,-0.22055245965192416,9.770955431464825
TFT,Recente,48,7,0.8482513427734375,0.9012029767036438,0.8704778378948992,1.378653645515442
TFT,Passado,48,7,0.8496567010879517,0.8979514837265015,0.8326392081119642,0.6559803485870361
TFT,Recente,96,7,0.8382347822189331,0.902836799621582,0.8769116105686481,1.1566293239593506
TFT,Passado,96,7,0.8642702698707581,0.907471239566803,0.8916043159096732,1.1027458906173706
TFT,Passado,144,7,0.8606613278388977,0.9068154692649841,0.8891812278044491,0.8414872288703918
TFT,Recente,144,7,0.848186194896698,0.9016154408454895,0.8704581533682785,1.6420633792877197
TFT,Recente,192,7,0.8441704511642456,0.8965049386024475,0.8707573508696991,1.3346222639083862
TFT,Passado,192,7,0.8452144265174866,0.8972793817520142,0.8361904822938658,0.650583028793335
TFT,Recente,48,15,0.8181881308555603,0.8817498087882996,0.8856120360398777,1.9135440587997437
TFT,Passado,48,15,0.8486169576644897,0.8936303853988647,0.8622200854334585,1.2714210748672485
TFT,Passado,96,15,0.8349741697311401,0.8749440312385559,0.8113429447758946,1.2123184204101562
TFT,Recente,96,15,0.8234536647796631,0.8759891986846924,0.8328843949567626,2.3788576126098633
TFT,Passado,144,15,0.8436936140060425,0.8979824185371399,0.8767748719166444,0.8605503439903259
TFT,Recente,144,15,0.8190183639526367,0.8751621246337891,0.8425409673077519,1.7107410430908203
TFT,Passado,192,15,0.8526681065559387,0.9034799337387085,0.8613897267885123,1.0264986753463745
TFT,Recente,192,15,0.8070029616355896,0.8761043548583984,0.8991196537368351,1.7893242835998535
TFT,Recente,48,30,0.8141329884529114,0.8739275336265564,0.8245376559872137,2.3248164653778076
TFT,Passado,48,30,0.8317358493804932,0.8669029474258423,0.8120716633504538,1.704289436340332
TFT,Passado,96,30,0.829677402973175,0.879543662071228,0.7896151624344994,1.7553644180297852
TFT,Recente,96,30,0.8095908761024475,0.8613213300704956,0.8776247626018879,2.7364423274993896
TFT,Recente,144,30,0.8115533590316772,0.8532652258872986,0.8298315932393454,2.3544912338256836
TFT,Passado,144,30,0.8282358050346375,0.8707908391952515,0.8084369887503674,0.9285916686058044
TFT,Recente,192,30,0.8151794672012329,0.8642028570175171,0.8765249624944716,2.367250442504883
TFT,Passado,192,30,0.8384804129600525,0.8855142593383789,0.8318346670911337,1.1416152715682983
