date,precipitation,temperature,actual_evapotransp,streamflow_m3s,year,month,oni,day_of_year,sin_day,cos_day,sin_month,cos_month,period,station_id,static_climate_aridity,static_climate_p_seasonality,static_geology_geol_permeability,static_human_intervention_regulation_degree,static_soil_bedrock_depth,static_topography_elev_mean,static_topography_slope_mean,static_topography_area,time_idx
1991-01-01,0.0,16.07,5.017,16.241,1991,1,0.41,1,0.01716632975470737,0.9998526477050269,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12267
1991-01-02,0.726,18.18,4.17,15.316,1991,1,0.41,2,0.034327600513243496,0.9994106342455052,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12268
1991-01-03,15.576,18.28,3.987,13.825,1991,1,0.41,3,0.05147875477034653,0.9986740898848305,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12269
1991-01-04,0.135,16.59,4.813,37.816,1991,1,0.41,4,0.06861473800213404,0.9976432316860063,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12270
1991-01-05,0.0,15.75,4.622,26.69,1991,1,0.41,5,0.08573050015569435,0.9963183634476755,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12271
1991-01-06,0.0,17.14,4.614,22.254,1991,1,0.41,6,0.1028209971373604,0.9946998756145891,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12272
1991-01-07,0.009,18.19,5.109,17.832,1991,1,0.41,7,0.11988119229922722,0.99278824516254,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12273
1991-01-08,0.0,18.92,5.185,15.013,1991,1,0.41,8,0.13690605792347524,0.990584035457797,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12274
1991-01-09,0.526,19.53,5.115,13.825,1991,1,0.41,9,0.15389057670406178,0.9880878960910772,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12275
1991-01-10,9.321,18.61,3.036,12.678,1991,1,0.41,10,0.17082974322534417,0.985300562686109,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12276
1991-01-11,2.374,17.28,3.622,23.331,1991,1,0.41,11,0.1877185654371987,0.9822228566828407,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12277
1991-01-12,0.42,16.03,4.4,17.509,1991,1,0.41,12,0.2045520661262008,0.9788556850953578,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12278
1991-01-13,0.008,17.66,4.506,14.118,1991,1,0.41,13,0.22132528438243257,0.9752000402445825,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12279
1991-01-14,1.564,19.36,4.771,11.845,1991,1,0.41,14,0.2380332770614856,0.9712569994658314,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12280
1991-01-15,4.89,19.36,4.06,12.678,1991,1,0.41,15,0.2546711202412287,0.9670277247913204,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12281
1991-01-16,3.681,19.32,5.723,14.118,1991,1,0.41,16,0.27123391067291003,0.9625134626077081,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12282
1991-01-17,0.571,15.7,5.104,14.712,1991,1,0.41,17,0.287716767226167,0.9577155432887803,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12283
1991-01-18,0.0,15.88,4.828,12.12,1991,1,0.41,18,0.30411483232751785,0.9526353808033826,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12284
1991-01-19,0.0,16.95,5.376,11.303,1991,1,0.41,19,0.3204232733919111,0.9472744722987169,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12285
1991-01-20,0.0,18.69,5.069,10.251,1991,1,0.41,20,0.33663728424691025,0.9416343976591259,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12286
1991-01-21,0.308,21.49,5.526,9.49,1991,1,0.41,21,0.3527520865490948,0.9357168190404936,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12287
1991-01-22,6.36,20.83,4.27,9.241,1991,1,0.41,22,0.3687629311922601,0.9295234803804003,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12288
1991-01-23,15.482,19.08,3.748,12.398,1991,1,0.41,23,0.3846650997070012,0.9230562068841761,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12289
1991-01-24,7.816,17.37,2.43,10.772,1991,1,0.41,24,0.40045390565126643,0.9163169044870048,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12290
1991-01-25,32.827,13.49,2.283,15.93,1991,1,0.41,25,0.41612469599147445,0.9093075592922358,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12291
1991-01-26,14.347,13.69,3.517,19.485,1991,1,0.41,26,0.43167285247378384,0.9020302369860707,0.49999999999999994,0.8660254037844387,Recente,71200000,0.53126,0.13131,-13.0146,0.0,904.721,1188.4726,123.9397,1003.974,12292
