target_month,window_months,input_start_date,input_end_date,target_start_date,target_end_date,input_rows,target_rows,has_full_input_months,has_target_month,input_missing_values,target_missing_values,has_complete_data,is_candidate
2011-01,1,2010-12-01,2010-12-31,2011-01-01,2011-01-31,31,31,True,True,0,0,True,True
2011-01,2,2010-11-01,2010-12-31,2011-01-01,2011-01-31,61,31,True,True,0,0,True,True
2011-01,3,2010-10-01,2010-12-31,2011-01-01,2011-01-31,92,31,True,True,0,0,True,True
2011-01,4,2010-09-01,2010-12-31,2011-01-01,2011-01-31,122,31,True,True,0,0,True,True
2011-01,5,2010-08-01,2010-12-31,2011-01-01,2011-01-31,153,31,True,True,0,0,True,True
2011-01,6,2010-07-01,2010-12-31,2011-01-01,2011-01-31,184,31,True,True,0,0,True,True
2011-01,7,2010-06-01,2010-12-31,2011-01-01,2011-01-31,214,31,True,True,0,0,True,True
2011-01,8,2010-05-01,2010-12-31,2011-01-01,2011-01-31,245,31,True,True,0,0,True,True
2011-01,9,2010-04-01,2010-12-31,2011-01-01,2011-01-31,275,31,True,True,0,0,True,True
2011-01,10,2010-03-01,2010-12-31,2011-01-01,2011-01-31,306,31,True,True,0,0,True,True
2011-01,11,2010-02-01,2010-12-31,2011-01-01,2011-01-31,334,31,True,True,0,0,True,True
2011-01,12,2010-01-01,2010-12-31,2011-01-01,2011-01-31,365,31,True,True,0,0,True,True
2011-01,13,2009-12-01,2010-12-31,2011-01-01,2011-01-31,396,31,True,True,0,0,True,True
2011-01,14,2009-11-01,2010-12-31,2011-01-01,2011-01-31,426,31,True,True,0,0,True,True
2011-01,15,2009-10-01,2010-12-31,2011-01-01,2011-01-31,457,31,True,True,0,0,True,True
2011-01,16,2009-09-01,2010-12-31,2011-01-01,2011-01-31,487,31,True,True,0,0,True,True
2011-01,17,2009-08-01,2010-12-31,2011-01-01,2011-01-31,518,31,True,True,0,0,True,True
2011-01,18,2009-07-01,2010-12-31,2011-01-01,2011-01-31,549,31,True,True,0,0,True,True
2011-01,19,2009-06-01,2010-12-31,2011-01-01,2011-01-31,579,31,True,True,0,0,True,True
2011-01,20,2009-05-01,2010-12-31,2011-01-01,2011-01-31,610,31,True,True,0,0,True,True
2011-01,21,2009-04-01,2010-12-31,2011-01-01,2011-01-31,640,31,True,True,0,0,True,True
2011-01,22,2009-03-01,2010-12-31,2011-01-01,2011-01-31,671,31,True,True,0,0,True,True
2011-01,23,2009-02-01,2010-12-31,2011-01-01,2011-01-31,699,31,True,True,0,0,True,True
2011-01,24,2009-01-01,2010-12-31,2011-01-01,2011-01-31,730,31,True,True,0,0,True,True
2011-02,1,2011-01-01,2011-01-31,2011-02-01,2011-02-28,31,28,True,True,0,0,True,True
2011-02,2,2010-12-01,2011-01-31,2011-02-01,2011-02-28,62,28,True,True,0,0,True,True
2011-02,3,2010-11-01,2011-01-31,2011-02-01,2011-02-28,92,28,True,True,0,0,True,True
2011-02,4,2010-10-01,2011-01-31,2011-02-01,2011-02-28,123,28,True,True,0,0,True,True
