target_month,candidate_windows,min_window_months,max_window_months
2011-01,24,1,24
2011-02,24,1,24
2011-03,24,1,24
2011-04,24,1,24
2011-05,24,1,24
2011-06,24,1,24
2011-07,24,1,24
2011-08,24,1,24
2011-09,24,1,24
2011-10,24,1,24
2011-11,24,1,24
2011-12,24,1,24
2012-01,24,1,24
2012-02,24,1,24
2012-03,24,1,24
2012-04,24,1,24
2012-05,24,1,24
2012-06,24,1,24
2012-07,24,1,24
2012-08,24,1,24
2012-09,24,1,24
2012-10,24,1,24
2012-11,24,1,24
2012-12,24,1,24
2013-01,24,1,24
2013-02,24,1,24
2013-03,24,1,24
2013-04,24,1,24
2013-05,24,1,24
2013-06,24,1,24
2013-07,24,1,24
2013-08,24,1,24
2013-09,24,1,24
2013-10,24,1,24
2013-11,24,1,24
2013-12,24,1,24
2014-01,24,1,24
2014-02,24,1,24
2014-03,24,1,24
2014-04,24,1,24
2014-05,24,1,24
2014-06,24,1,24
2014-07,24,1,24
2014-08,24,1,24
2014-09,24,1,24
2014-10,24,1,24
2014-11,24,1,24
2014-12,24,1,24
2015-01,24,1,24
2015-02,24,1,24
2015-03,24,1,24
2015-04,24,1,24
2015-05,24,1,24
2015-06,24,1,24
2015-07,24,1,24
2015-08,24,1,24
2015-09,24,1,24
2015-10,24,1,24
2015-11,24,1,24
2015-12,24,1,24
2016-01,24,1,24
2016-02,24,1,24
2016-03,24,1,24
2016-04,24,1,24
2016-05,24,1,24
2016-06,24,1,24
2016-07,24,1,24
2016-08,24,1,24
2016-09,24,1,24
2016-10,24,1,24
2016-11,24,1,24
2016-12,24,1,24
2017-01,24,1,24
2017-02,24,1,24
2017-03,24,1,24
2017-04,24,1,24
2017-05,24,1,24
2017-06,24,1,24
2017-07,24,1,24
2017-08,24,1,24
2017-09,24,1,24
2017-10,24,1,24
2017-11,24,1,24
2017-12,24,1,24
2018-01,24,1,24
2018-02,24,1,24
2018-03,24,1,24
2018-04,24,1,24
2018-05,24,1,24
2018-06,24,1,24
2018-07,24,1,24
2018-08,24,1,24
2018-09,24,1,24
2018-10,24,1,24
2018-11,24,1,24
2018-12,24,1,24
