number,state,objective,hidden_size,attention_head_size,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss,use_static_features
0,TrialState.COMPLETE,7.095767974853516,32,8,0.18033450352296262,0.0011114989443094978,64,7.095767974853516,12.403836250305176,0.9175428748130798,0.9175428748130798,0.8433076954717212,19.053380966186523,7.999,0.9114454984664917,1.2852814197540283,19.0,7.095767974853516,False
1,TrialState.COMPLETE,5.871076583862305,96,8,0.04184815819561255,0.00027010527749605503,128,5.871076583862305,11.490156173706055,0.9292432069778442,0.9292432069778442,0.8652563259627597,11.801199913024902,7.999,0.9507121443748474,0.4104745388031006,19.0,5.871076583862305,False
2,TrialState.COMPLETE,6.279386520385742,64,8,0.2896896099223678,0.0015635108708133452,128,6.279386043548584,11.81301212310791,0.9252110719680786,0.9252110719680786,0.8958221311119636,12.770004272460938,7.999,0.9460960030555725,0.7972657680511475,19.0,6.279386520385742,False
3,TrialState.COMPLETE,5.731103897094727,64,1,0.15602040635334324,0.000642033033629786,64,5.731103420257568,11.240683555603027,0.9322823882102966,0.9322823882102966,0.9504950974998145,11.396682739257812,7.999,0.9511283040046692,0.36171483993530273,19.0,5.731103897094727,False
4,TrialState.COMPLETE,6.3852152824401855,16,8,0.1166031869068446,0.0002516607127550297,32,6.385214805603027,12.690690040588379,0.9136849641799927,0.9136849641799927,0.8991929740020826,12.417946815490723,7.999,0.947526216506958,0.482002854347229,19.0,6.3852152824401855,False
5,TrialState.COMPLETE,5.78473424911499,64,1,0.24463842853645024,0.0011069143219393448,64,5.784735202789307,11.508800506591797,0.9290134310722351,0.9290134310722351,0.936003280563446,11.158681869506836,7.999,0.9555686116218567,0.6524746417999268,19.0,5.78473424911499,False
6,TrialState.COMPLETE,6.262318134307861,64,1,0.21888185350141923,0.000874479618932312,32,6.2623186111450195,11.991045951843262,0.9229397773742676,0.9229397773742676,0.8454230719819995,12.661859512329102,7.999,0.9450345039367676,0.7582288980484009,19.0,6.262318134307861,False
7,TrialState.COMPLETE,6.447000980377197,96,2,0.032367428097991334,0.00011128194768838959,32,6.447000026702881,12.752142906188965,0.9128469824790955,0.9128469824790955,0.8456219417390336,13.1868896484375,7.999,0.9412907361984253,0.6184839010238647,19.0,6.447000980377197,False
8,TrialState.COMPLETE,6.388560771942139,16,4,0.2789092957027719,0.0015620386984526499,64,6.388560771942139,12.148271560668945,0.9209057092666626,0.9209057092666626,0.8669980084222599,13.853375434875488,7.999,0.9395666718482971,0.528296947479248,19.0,6.388560771942139,False
9,TrialState.COMPLETE,6.44697380065918,32,1,0.1281323365878769,0.0016155001304356408,32,6.4469733238220215,12.497011184692383,0.9162994623184204,0.9162994623184204,0.8296944408266298,11.497082710266113,7.999,0.9556698203086853,0.4341186583042145,19.0,6.44697380065918,False
10,TrialState.COMPLETE,5.995193004608154,64,4,0.09065740713241775,0.00045963255619168534,64,5.995193004608154,11.242815971374512,0.9322566986083984,0.9322566986083984,0.9053563397875302,12.927593231201172,7.999,0.9475536942481995,0.97163987159729,19.0,5.995193004608154,False
11,TrialState.COMPLETE,6.390563011169434,64,1,0.22423832725442805,0.0006397603728807464,64,6.390562534332275,11.815569877624512,0.9251786470413208,0.9251786470413208,0.8889285637015885,14.129575729370117,7.999,0.9394708871841431,0.9707813262939453,19.0,6.390563011169434,False
12,TrialState.COMPLETE,5.78196907043457,64,1,0.18071511617475572,0.002650156292569758,64,5.78196907043457,11.014854431152344,0.9349759817123413,0.9349759817123413,0.9493696445979831,12.427663803100586,7.999,0.9524862766265869,1.3458880186080933,19.0,5.78196907043457,False
13,TrialState.COMPLETE,6.820031642913818,64,1,0.16793212913699593,0.0024724843451838885,64,6.820030689239502,11.960277557373047,0.9233347177505493,0.9233347177505493,0.8484017644380015,17.499290466308594,7.999,0.9270272850990295,1.2454320192337036,19.0,6.820031642913818,False
14,TrialState.COMPLETE,5.525050640106201,64,2,0.18272215903012334,0.0003610811628974879,64,5.525050640106201,10.95215892791748,0.9357141256332397,0.9357141256332397,0.9536397456126913,11.2376708984375,7.999,0.952414333820343,0.47735825181007385,19.0,5.525050640106201,False
15,TrialState.COMPLETE,5.662167072296143,64,2,0.08473156262551321,0.0003451267904566565,64,5.662167072296143,10.653990745544434,0.939166784286499,0.939166784286499,0.953058253636728,11.84251594543457,7.999,0.952871561050415,0.7485870122909546,19.0,5.662167072296143,False
16,TrialState.COMPLETE,5.907480239868164,96,2,0.07340648779348267,0.0003078266768786667,128,5.907480716705322,11.239510536193848,0.9322965145111084,0.9322965145111084,0.925625223130764,12.28619384765625,7.999,0.9491986036300659,0.9460827708244324,19.0,5.907480239868164,False
17,TrialState.COMPLETE,8.593676567077637,16,2,0.0061851460509698974,0.00016034055878559177,64,8.59367561340332,16.33769416809082,0.8569468259811401,0.8569468259811401,0.8107257401141288,17.051912307739258,7.999,0.9239731431007385,1.1584492921829224,19.0,8.593676567077637,False
18,TrialState.COMPLETE,6.485061168670654,32,2,0.09054032108039069,0.0004028546734038642,64,6.485061168670654,12.088055610656738,0.92168790102005,0.92168790102005,0.8808240187894946,12.825748443603516,7.999,0.9494969844818115,0.8105933666229248,19.0,6.485061168670654,False
19,TrialState.COMPLETE,7.557876110076904,64,2,0.11978128067307693,0.00015751180044297516,128,7.557876110076904,13.936033248901367,0.8959134817123413,0.8959134817123413,0.8651493755664084,15.985831260681152,7.999,0.9253668785095215,0.8345614671707153,19.0,7.557876110076904,False
