number,state,objective,hidden_size,attention_head_size,dropout,learning_rate,batch_size,MAE,RMSE,R2,NSE,KGE,sMAPE,Q90_reference,LogNSE,RMSE_dry,n_dry_samples,val_loss,use_static_features
0,TrialState.COMPLETE,5.85532808303833,32,8,0.18033450352296262,0.0011114989443094978,64,5.85532808303833,9.461511611938477,0.9224205613136292,0.9224205613136292,0.9458216705022199,14.567062377929688,8.996,0.9383361339569092,0.9877135157585144,84.0,5.85532808303833,False
1,TrialState.COMPLETE,5.4840216636657715,96,8,0.04184815819561255,0.00027010527749605503,128,5.4840216636657715,10.440958023071289,0.9055272936820984,0.9055272936820984,0.8758531514323931,13.356608390808105,8.996,0.9294776916503906,0.8996026515960693,84.0,5.4840216636657715,False
2,TrialState.COMPLETE,4.956887722015381,64,8,0.2896896099223678,0.0015635108708133452,128,4.956887722015381,8.885017395019531,0.9315864443778992,0.9315864443778992,0.9453279458720276,12.280245780944824,8.996,0.948217511177063,1.066756248474121,84.0,4.956887722015381,False
3,TrialState.COMPLETE,5.163549900054932,64,1,0.15602040635334324,0.000642033033629786,64,5.163549423217773,9.80773639678955,0.916638970375061,0.916638970375061,0.8511659089676752,12.255598068237305,8.996,0.941265344619751,0.6885888576507568,84.0,5.163549900054932,False
4,TrialState.COMPLETE,5.596096038818359,16,8,0.1166031869068446,0.0002516607127550297,32,5.596096992492676,9.854331016540527,0.9158450365066528,0.9158450365066528,0.9423033145438015,14.481917381286621,8.996,0.9321954250335693,1.0198276042938232,84.0,5.596096038818359,False
5,TrialState.COMPLETE,5.069568634033203,64,1,0.24463842853645024,0.0011069143219393448,64,5.069568634033203,9.24061393737793,0.9260007739067078,0.9260007739067078,0.9349434845885974,12.296442985534668,8.996,0.9471837878227234,0.9850186109542847,84.0,5.069568634033203,False
6,TrialState.COMPLETE,4.898195743560791,64,1,0.21888185350141923,0.000874479618932312,32,4.898196220397949,8.816149711608887,0.9326428771018982,0.9326428771018982,0.9372302386602187,12.278822898864746,8.996,0.9461713433265686,0.8393856883049011,84.0,4.898195743560791,False
7,TrialState.COMPLETE,5.191090106964111,96,2,0.032367428097991334,0.00011128194768838959,32,5.1910905838012695,9.454928398132324,0.9225285053253174,0.9225285053253174,0.9059720937278088,12.984281539916992,8.996,0.9455563426017761,1.485868215560913,84.0,5.191090106964111,False
8,TrialState.COMPLETE,5.160313606262207,16,4,0.2789092957027719,0.0015620386984526499,64,5.160314083099365,9.343307495117188,0.9243468642234802,0.9243468642234802,0.9241022644345013,12.598954200744629,8.996,0.9458200931549072,0.905571460723877,84.0,5.160313606262207,False
9,TrialState.COMPLETE,4.778154373168945,32,1,0.1281323365878769,0.0016155001304356408,32,4.778154373168945,8.616572380065918,0.9356579780578613,0.9356579780578613,0.9366449849933507,12.041464805603027,8.996,0.9502734541893005,0.7675538063049316,84.0,4.778154373168945,False
10,TrialState.COMPLETE,5.520557880401611,32,4,0.09563701655299217,0.0025368960867231754,32,5.520557880401611,9.097146034240723,0.9282807111740112,0.9282807111740112,0.9425691659671371,13.826149940490723,8.996,0.943705141544342,0.8569105267524719,84.0,5.520557880401611,False
11,TrialState.COMPLETE,5.524824619293213,32,1,0.21327095037895075,0.0005695639647488168,32,5.524824619293213,9.375893592834473,0.9238182306289673,0.9238182306289673,0.961753797815155,14.813547134399414,8.996,0.9349207878112793,1.367586374282837,84.0,5.524824619293213,False
12,TrialState.COMPLETE,5.3530378341674805,32,1,0.2033044012686971,0.002793561592830937,32,5.3530378341674805,8.977532386779785,0.9301543235778809,0.9301543235778809,0.9232026075951517,14.585058212280273,8.996,0.9413800239562988,1.9717061519622803,84.0,5.3530378341674805,False
13,TrialState.COMPLETE,4.84459924697876,64,1,0.12067766083311625,0.0008501640402369646,32,4.84459924697876,8.887809753417969,0.9315434098243713,0.9315434098243713,0.9404265440706033,12.165910720825195,8.996,0.9455967545509338,0.7358113527297974,84.0,4.84459924697876,False
14,TrialState.COMPLETE,4.995060443878174,64,2,0.09818964606426107,0.00033266640675826484,32,4.995059967041016,8.842158317565918,0.9322448968887329,0.9322448968887329,0.961495786246324,12.19624137878418,8.996,0.9485700130462646,1.350296974182129,84.0,4.995060443878174,False
15,TrialState.COMPLETE,5.322386264801025,32,1,0.13923477870770587,0.0017828548077927476,32,5.322386264801025,9.131171226501465,0.9277432560920715,0.9277432560920715,0.9324110932316015,16.486696243286133,8.996,0.9156327247619629,1.913394570350647,84.0,5.322386264801025,False
16,TrialState.COMPLETE,5.330599308013916,96,1,0.06740197694046264,0.00038763167617756505,128,5.330599308013916,8.87186050415039,0.9317889213562012,0.9317889213562012,0.9517155176134836,13.381214141845703,8.996,0.946719765663147,1.6841870546340942,84.0,5.330599308013916,False
17,TrialState.COMPLETE,5.318423748016357,16,1,0.011883040532969305,0.0008368077388927224,32,5.318423748016357,9.285921096801758,0.9252733588218689,0.9252733588218689,0.9464564069384509,13.4002103805542,8.996,0.9444359540939331,1.4548121690750122,84.0,5.318423748016357,False
18,TrialState.COMPLETE,5.220513343811035,32,2,0.1524912284835532,0.00017560897260829057,32,5.220514297485352,9.342795372009277,0.924355149269104,0.924355149269104,0.9333862841043059,12.929576873779297,8.996,0.9463735818862915,1.6813490390777588,84.0,5.220513343811035,False
19,TrialState.COMPLETE,5.019206523895264,64,4,0.07225219708554567,0.001901635266531885,128,5.019207000732422,8.858756065368652,0.9319902658462524,0.9319902658462524,0.9434770237814518,13.565340995788574,8.996,0.9423585534095764,1.335453987121582,84.0,5.019206523895264,False
