year month day tmax_cpc tmax_era5land tmax_brdwgd tmean_era5land tmin_cpc tmin_era5land tmin_brdwgd
1980 1 1 20.38 19.34 18.61 13.81 11.66 9.38 9.54
1980 1 2 22.70 21.24 21.62 14.52 10.34 7.28 7.64
1980 1 3 22.37 23.85 24.96 16.65 10.69 10.02 9.89
1980 1 4 24.05 22.19 25.01 17.41 13.15 13.93 10.96
1980 1 5 25.72 21.32 22.83 17.14 15.49 14.43 10.79
1980 1 6 24.87 23.20 23.42 17.78 15.87 13.09 11.37
1980 1 7 24.60 22.35 22.67 17.86 16.67 15.56 12.77
1980 1 8 23.93 24.54 25.34 18.67 16.66 16.09 13.66
1980 1 9 27.00 20.03 21.73 17.00 16.86 15.31 14.08
1980 1 10 22.06 22.90 20.93 17.85 16.67 14.05 14.10
1980 1 11 25.86 23.77 24.24 17.40 13.35 11.04 10.63
1980 1 12 25.89 23.10 24.50 17.93 14.20 12.08 11.46
1980 1 13 25.69 21.72 22.75 17.20 15.02 12.92 10.97
1980 1 14 24.70 20.96 21.48 16.43 16.32 13.13 10.79
1980 1 15 24.05 20.92 22.45 16.42 14.50 12.73 12.13
1980 1 16 23.71 20.90 22.65 16.73 15.68 12.50 13.67
1980 1 17 24.21 23.42 23.56 18.32 17.50 14.47 13.86
1980 1 18 23.27 24.56 23.06 19.35 17.36 16.23 13.11
1980 1 19 25.85 25.28 25.43 19.34 17.15 15.31 13.51
1980 1 20 27.70 24.97 24.02 19.37 16.37 15.07 13.42
1980 1 21 28.64 24.03 24.52 18.62 15.18 12.79 12.54
1980 1 22 26.04 26.13 25.97 20.27 15.66 15.92 13.12
1980 1 23 30.04 25.81 27.51 20.34 18.64 15.38 14.68
1980 1 24 31.71 20.98 19.82 17.94 18.50 13.12 11.64
1980 1 25 25.34 15.83 19.44 13.74 13.01 12.50 10.48
1980 1 26 21.39 19.65 24.12 16.32 14.97 13.29 11.62
1980 1 27 24.22 24.56 25.80 19.29 15.12 15.25 13.27
1980 1 28 26.29 22.72 23.59 18.11 17.84 15.59 13.26
1980 1 29 26.93 22.61 24.51 17.75 15.49 13.36 12.17
1980 1 30 25.21 25.00 26.19 18.80 15.62 13.77 12.06
1980 1 31 27.20 21.42 20.69 18.07 17.99 16.08 13.21
1980 2 1 24.00 22.45 20.68 18.04 16.31 14.79 12.81
1980 2 2 26.31 21.92 21.09 18.17 16.01 15.32 12.46
1980 2 3 24.70 23.18 22.14 18.65 15.97 15.56 12.91
1980 2 4 25.05 23.95 22.38 18.90 14.95 15.54 12.88
1980 2 5 26.36 24.04 22.07 19.10 17.30 14.67 14.15
1980 2 6 26.39 24.52 25.19 19.53 18.61 16.55 15.56
1980 2 7 27.20 24.76 23.46 19.78 18.28 16.31 15.29
1980 2 8 27.34 24.08 24.01 19.16 16.13 14.21 14.09
1980 2 9 27.19 23.99 22.61 19.64 17.62 15.92 13.75
1980 2 10 27.55 24.71 22.26 20.20 19.46 17.79 16.14
1980 2 11 25.80 22.25 21.38 19.65 17.63 17.82 15.32
1980 2 12 24.32 24.63 23.01 20.17 16.42 17.48 13.74
1980 2 13 25.89 25.38 24.33 20.38 16.96 16.66 15.40
1980 2 14 27.87 25.02 24.26 19.67 16.48 14.50 13.78
1980 2 15 27.02 24.79 23.17 19.95 18.08 15.14 14.86
1980 2 16 25.90 25.01 22.80 20.00 17.60 16.80 14.78
1980 2 17 26.63 21.20 19.56 18.18 18.27 16.23 13.63
1980 2 18 23.87 20.16 17.49 16.40 16.12 12.95 12.71
1980 2 19 21.55 20.12 18.24 14.97 14.64 11.18 9.68
1980 2 20 23.19 21.32 19.33 15.73 14.63 10.73 11.30
1980 2 21 24.20 23.61 22.35 18.37 14.33 13.31 11.73
1980 2 22 25.99 23.58 23.31 18.98 16.29 15.66 14.82
1980 2 23 27.49 22.76 23.10 18.77 16.48 15.58 15.28
1980 2 24 28.13 22.54 22.68 18.96 16.48 16.63 14.57
1980 2 25 27.37 22.58 20.05 18.81 16.82 16.80 14.94
1980 2 26 25.73 21.75 19.84 18.55 18.42 16.65 14.94
1980 2 27 24.72 21.02 20.30 18.25 17.80 17.19 15.93
1980 2 28 23.75 21.41 22.76 18.71 17.91 17.21 15.23
1980 2 29 26.99 20.98 18.59 19.06 18.01 17.94 15.83
1980 3 1 25.17 25.86 22.18 21.03 18.18 17.56 15.24
1980 3 2 28.31 26.32 23.88 21.35 19.34 18.36 17.05
1980 3 3 28.61 24.21 24.21 19.82 18.84 16.78 16.46
1980 3 4 26.97 24.05 22.88 19.98 18.16 17.57 15.85
1980 3 5 26.80 25.26 23.05 20.12 18.78 16.36 15.64
1980 3 6 27.82 26.86 24.70 20.86 18.68 16.76 15.40
