gauge_id gauge_name gauge_lat gauge_lon area_ana area_gsim area_gsim_quality
10100000 tabatinga -4.2347 -69.9447 874000 883138.5 high
10200000 palmeiras_do_javari -5.1389 -72.8136 16500 16558.04 high
10300000 santa_maria_flores -4.5397 -71.4003 25200 24565.5 high
10500000 estirao_do_repouso -4.3408 -70.9056 61400 61581.51 high
10800000 seringal_do_itui -4.7333 -70.3 19200 19289.8 high
10900000 ladario -4.7333 -70.3 19200 19289.8 high
10910000 ladario_-_jusante -4.5836 -70.2644 36900 36995.61 high
11200000 teresina -4.3578 -69.7336 985000 nan nan
11400000 sao_paulo_de_olivenca -3.4569 -68.9119 1010000 1018679 high
11444900 ipiranga_novo -2.9297 -69.6931 106000 106103.4 high
11450000 ipiranga_velho -2.9417 -69.5228 107000 106728.4 high
11500000 santo_antonio_do_ica -3.1017 -67.9356 1130000 1144059 high
12100000 colocacao_caxias_novo -4.6661 -68.1483 20300 nan nan
12150000 conceicao_(ex._ilha_da_nova_sorte) -4.8967 -68.6633 17600 17630.25 high
12180000 tanibuca -4.745 -68.1353 12700 12670.58 high
12200000 barreira_alta -4.2211 -67.8925 35500 35569.56 high
12210000 barreira_alta_nova_(maroa) -4.5711 -68.0111 36200 nan nan
12230000 barreira_branca -4.3256 -67.3444 11047 10903.83 high
12240000 porto_seguro -3.3372 -67.4917 64400 64459.76 high
12360000 foz_do_breu -9.4097 -72.7158 7690 7774.357 high
12370000 thaumaturgo -8.9458 -72.7847 16100 16184.38 high
12390000 porto_walter -8.2672 -72.7411 22200 22316.15 high
12400000 serra_do_moa -7.4483 -73.6644 1030 999.6329 high
12420000 base_sao_salvador -7.4125 -73.1914 5720 5535.211 high
12500000 cruzeiro_do_sul -7.6333 -72.6603 37800 38019.14 high
12500900 comunidade_guarani -7.9728 -72.0444 2520 nan nan
12510000 seringal_bom_futuro -7.8492 -72.0547 3400 3439.883 high
12510500 ponte_do_rio_liberdade -7.7994 -72.0211 3450 nan nan
12520000 ipixuna -7.0556 -71.6892 56100 55632.32 high
12530000 fazenda_paranacre -7.9511 -71.4822 2070 2053.169 high
12540000 seringal_santo_amaro -7.2667 -70.9833 7350 7323.005 high
12550000 eirunepe_-_montante -6.6844 -69.8811 77300 76952 high
12559000 seringal_sao_luiz -8.6611 -71.5744 5070 nan nan
12560000 seringal_sao_luiz -8.6181 -71.5517 5360 5294.957 high
12590000 ponte_de_tarauaca -8.1519 -70.7456 8770 nan nan
12600001 tarauaca_-_jusante -8.1458 -70.7153 15600 15714.67 high
12640000 seringal_santa_helena -8.6858 -70.5511 12800 12971.83 high
12650000 feijo -8.1636 -70.3564 17000 17300.21 high
