year month day aet_gleam aet_era5land aet_mgb
1980 1 1 4.402 5.386 2.183
1980 1 2 4.485 5.374 2.061
1980 1 3 4.393 5.113 1.950
1980 1 4 3.758 4.290 1.847
1980 1 5 3.527 4.378 2.293
1980 1 6 4.795 4.619 2.528
1980 1 7 3.080 3.504 3.320
1980 1 8 4.455 4.194 3.698
1980 1 9 2.050 2.380 3.725
1980 1 10 4.439 5.087 4.017
1980 1 11 4.223 5.473 3.251
1980 1 12 4.903 5.320 2.384
1980 1 13 4.575 5.031 3.996
1980 1 14 3.394 3.985 3.113
1980 1 15 3.860 4.165 3.334
1980 1 16 3.627 3.497 3.515
1980 1 17 4.867 4.395 3.697
1980 1 18 4.837 4.884 3.854
1980 1 19 4.922 5.396 4.010
1980 1 20 4.542 5.578 4.011
1980 1 21 4.627 5.771 3.063
1980 1 22 4.896 5.844 2.206
1980 1 23 5.134 5.222 3.542
1980 1 24 2.130 3.001 3.727
1980 1 25 1.620 2.672 4.009
1980 1 26 1.467 1.941 2.768
1980 1 27 4.292 5.086 2.438
1980 1 28 4.309 4.558 3.684
1980 1 29 3.911 4.861 3.910
1980 1 30 4.630 5.371 2.181
1980 1 31 2.150 2.260 2.392
1980 2 1 4.390 4.762 3.524
1980 2 2 3.460 4.196 2.924
1980 2 3 3.708 4.708 2.084
1980 2 4 4.657 5.537 1.764
1980 2 5 4.533 5.253 1.761
1980 2 6 3.959 4.034 3.268
1980 2 7 4.679 5.480 3.226
1980 2 8 4.448 5.244 2.461
1980 2 9 3.802 4.207 1.883
1980 2 10 3.702 3.579 3.092
1980 2 11 2.506 3.036 3.118
1980 2 12 2.902 4.014 3.015
1980 2 13 3.889 4.656 1.820
1980 2 14 4.708 5.391 1.679
1980 2 15 4.935 4.911 2.309
1980 2 16 4.503 4.702 3.121
1980 2 17 2.699 3.485 3.147
1980 2 18 3.610 4.218 3.262
1980 2 19 3.539 4.276 2.552
1980 2 20 3.289 4.165 2.090
1980 2 21 4.020 4.729 1.800
1980 2 22 4.294 4.334 3.201
1980 2 23 3.821 4.591 2.916
1980 2 24 2.714 3.485 3.129
1980 2 25 3.403 3.955 3.258
1980 2 26 2.633 3.400 3.305
1980 2 27 2.248 2.721 3.491
1980 2 28 2.457 2.765 3.529
1980 2 29 2.674 2.823 3.627
1980 3 1 4.295 4.390 3.685
1980 3 2 4.573 4.512 3.675
1980 3 3 3.475 3.667 3.673
1980 3 4 4.446 4.416 3.671
1980 3 5 4.346 4.930 3.669
1980 3 6 4.734 4.832 3.667
1980 3 7 3.912 4.129 3.664
1980 3 8 3.577 3.592 3.662
1980 3 9 4.020 4.468 3.660
1980 3 10 4.180 4.693 3.658
1980 3 11 3.674 3.794 3.656
1980 3 12 2.818 2.976 3.654
1980 3 13 3.453 4.129 3.651
1980 3 14 2.978 3.461 3.649
1980 3 15 2.198 3.230 2.935
1980 3 16 2.699 3.254 2.777
1980 3 17 2.911 2.881 3.642
1980 3 18 3.630 3.849 2.800
1980 3 19 3.733 4.052 3.135
1980 3 20 3.612 4.226 2.578
1980 3 21 3.267 4.121 1.924
1980 3 22 3.342 4.134 1.815
1980 3 23 3.613 4.325 1.783
1980 3 24 3.524 4.113 1.754
1980 3 25 3.412 4.073 1.739
1980 3 26 4.100 4.066 1.848
1980 3 27 4.324 3.825 3.311
1980 3 28 2.024 2.767 3.320
1980 3 29 2.658 3.131 3.591
1980 3 30 2.978 3.478 3.562
1980 3 31 2.080 2.538 2.298
1980 4 1 2.787 3.272 1.655
1980 4 2 2.932 3.562 3.304
1980 4 3 2.650 3.209 1.738
1980 4 4 2.667 3.318 1.746
1980 4 5 3.105 3.768 1.460
1980 4 6 2.427 3.056 1.415
1980 4 7 2.595 3.078 1.345
1980 4 8 1.683 2.206 1.367
1980 4 9 2.381 2.896 1.573
1980 4 10 2.513 2.622 1.515
1980 4 11 2.808 3.032 1.474
1980 4 12 1.838 1.940 2.844
1980 4 13 1.943 2.216 2.904
1980 4 14 1.586 1.851 3.232
1980 4 15 2.887 3.249 3.359
1980 4 16 2.494 3.446 1.766
1980 4 17 1.185 1.484 1.812
1980 4 18 2.179 2.422 1.733
1980 4 19 2.285 2.655 1.638
1980 4 20 2.444 2.938 1.598
1980 4 21 2.486 2.928 1.549
1980 4 22 2.291 2.829 1.490
1980 4 23 1.982 2.367 1.426
1980 4 24 2.162 2.637 2.043
1980 4 25 1.862 2.317 1.745
1980 4 26 1.395 1.835 1.264
1980 4 27 1.787 2.002 1.442
1980 4 28 2.373 2.694 1.173
1980 4 29 1.943 2.295 1.132
1980 4 30 2.111 2.553 1.092
1980 5 1 1.246 0.773 2.629
1980 5 2 1.277 1.682 2.785
1980 5 3 1.060 1.645 3.124
1980 5 4 1.581 2.613 1.511
1980 5 5 1.874 2.604 1.451
1980 5 6 1.711 2.766 1.617
1980 5 7 2.158 1.967 2.944
1980 5 8 1.289 0.961 2.914
1980 5 9 1.435 1.119 3.104
1980 5 10 1.373 2.012 3.081
1980 5 11 1.813 2.319 3.106
1980 5 12 1.932 2.300 2.315
1980 5 13 1.232 1.473 2.093
1980 5 14 1.254 1.575 2.097
1980 5 15 1.806 2.194 1.373
1980 5 16 1.666 1.825 1.307
1980 5 17 1.539 1.698 2.698
1980 5 18 0.781 1.378 1.426
1980 5 19 1.256 1.785 2.356
1980 5 20 1.662 1.480 2.714
1980 5 21 1.505 1.652 2.705
1980 5 22 2.447 2.613 2.927
1980 5 23 1.817 2.092 1.814
1980 5 24 1.474 2.183 1.399
1980 5 25 1.116 1.675 1.416
1980 5 26 1.371 1.825 1.290
1980 5 27 1.478 2.004 1.242
1980 5 28 1.614 2.133 1.197
1980 5 29 1.512 1.725 1.316
1980 5 30 1.069 1.610 1.115
1980 5 31 1.815 1.567 1.807
1980 6 1 1.083 1.126 2.506
1980 6 2 1.877 2.822 2.571
1980 6 3 1.147 1.979 1.087
1980 6 4 1.271 1.818 1.052
1980 6 5 0.712 1.167 1.019
1980 6 6 1.282 1.640 1.235
1980 6 7 1.362 1.595 0.960
1980 6 8 1.057 1.241 0.932
1980 6 9 1.346 1.623 0.905
1980 6 10 1.532 1.808 0.879
1980 6 11 1.366 1.771 0.869
1980 6 12 1.704 1.668 1.664
1980 6 13 1.190 1.939 2.293
1980 6 14 1.593 1.874 1.076
1980 6 15 0.983 1.524 1.120
1980 6 16 0.719 1.175 1.016
1980 6 17 1.372 1.863 0.912
1980 6 18 1.198 1.788 0.885
1980 6 19 1.828 1.767 2.270
1980 6 20 1.139 1.825 2.322
1980 6 21 1.440 1.821 2.431
1980 6 22 0.986 1.296 2.124
1980 6 23 0.849 1.026 1.818
1980 6 24 1.301 0.748 2.415
1980 6 25 1.584 0.677 2.428
1980 6 26 1.471 2.257 2.758
1980 6 27 1.116 1.559 1.501
1980 6 28 0.973 1.540 1.627
1980 6 29 1.612 1.615 1.427
1980 6 30 1.863 1.731 1.825
1980 7 1 1.024 1.136 2.667
1980 7 2 1.169 1.763 2.803
1980 7 3 1.119 0.861 2.853
1980 7 4 1.254 1.272 2.853
1980 7 5 0.702 0.959 2.717
1980 7 6 0.706 0.981 1.798
1980 7 7 1.115 0.978 1.718
1980 7 8 1.428 0.856 2.827
1980 7 9 2.439 2.369 2.822
1980 7 10 0.991 1.511 1.565
1980 7 11 0.726 0.882 1.727
1980 7 12 1.158 1.498 1.861
1980 7 13 0.587 0.966 2.845
1980 7 14 0.886 1.812 2.265
1980 7 15 1.555 2.067 1.434
1980 7 16 1.047 1.901 2.214
1980 7 17 1.363 1.662 1.689
1980 7 18 1.339 1.609 1.611
1980 7 19 1.253 1.726 1.255
1980 7 20 1.656 1.880 1.566
1980 7 21 1.870 2.267 2.463
1980 7 22 1.228 2.130 1.155
1980 7 23 1.324 1.998 1.119
1980 7 24 1.432 1.998 1.085
1980 7 25 1.209 1.675 1.128
1980 7 26 2.249 2.208 1.924
1980 7 27 3.159 3.051 2.373
1980 7 28 1.791 1.404 2.064
1980 7 29 1.167 0.643 2.545
1980 7 30 1.324 1.750 2.882
1980 7 31 1.458 2.159 2.875
1980 8 1 1.117 1.872 1.748
1980 8 2 1.196 1.910 1.688
1980 8 3 1.181 1.296 1.838
1980 8 4 1.363 1.559 1.780
1980 8 5 2.189 2.139 2.993
1980 8 6 1.687 2.274 2.994
1980 8 7 2.201 2.860 2.742
1980 8 8 0.967 1.252 1.698
1980 8 9 1.513 2.088 2.857
1980 8 10 1.299 1.591 2.994
1980 8 11 0.588 0.917 2.967
1980 8 12 0.603 0.959 2.817
1980 8 13 0.947 1.449 2.157
1980 8 14 1.858 2.284 1.606
1980 8 15 1.852 2.296 1.584
1980 8 16 1.929 2.714 1.564
1980 8 17 1.945 2.354 2.837
1980 8 18 1.270 1.151 2.896
1980 8 19 1.450 1.101 3.016
1980 8 20 1.484 0.856 3.018
1980 8 21 1.525 1.364 3.021
1980 8 22 1.441 0.907 3.031
1980 8 23 2.215 3.112 3.017
1980 8 24 1.551 1.641 3.009
1980 8 25 1.180 1.255 3.014
1980 8 26 1.739 2.652 3.020
1980 8 27 1.583 2.272 1.746
1980 8 28 1.204 1.658 1.734
1980 8 29 1.151 1.383 1.810
1980 8 30 1.618 1.811 2.076
1980 8 31 1.220 1.148 2.196
1980 9 1 1.575 1.381 3.000
1980 9 2 1.334 0.623 3.050
1980 9 3 2.880 3.462 3.070
1980 9 4 2.496 3.446 1.701
1980 9 5 2.307 2.853 1.703
1980 9 6 2.062 3.036 1.779
1980 9 7 2.329 3.343 1.706
1980 9 8 2.718 2.800 2.900
1980 9 9 1.571 1.652 3.023
1980 9 10 1.758 2.514 3.083
1980 9 11 2.475 3.059 1.936
1980 9 12 2.486 3.076 1.832
1980 9 13 1.904 1.760 2.283
1980 9 14 2.266 2.100 3.001
1980 9 15 1.507 1.366 2.986
1980 9 16 2.366 3.101 3.095
1980 9 17 1.850 2.032 1.977
1980 9 18 2.185 2.740 2.581
1980 9 19 1.988 2.105 3.100
1980 9 20 1.566 1.260 3.102
1980 9 21 1.827 2.350 3.099
1980 9 22 2.850 3.488 3.106
1980 9 23 2.322 2.957 1.779
1980 9 24 2.293 2.894 1.738
1980 9 25 2.347 2.756 1.740
1980 9 26 2.357 2.631 2.244
1980 9 27 2.178 2.159 3.072
1980 9 28 1.198 1.043 3.058
1980 9 29 1.414 1.723 3.118
1980 9 30 3.293 3.578 1.937
1980 10 1 2.186 2.573 2.117
1980 10 2 2.763 3.249 2.059
1980 10 3 3.586 4.332 1.956
1980 10 4 3.596 4.340 2.842
1980 10 5 1.961 3.288 3.327
1980 10 6 2.927 3.587 1.963
1980 10 7 1.097 1.364 2.138
1980 10 8 1.234 1.612 3.226
1980 10 9 3.138 4.019 3.341
1980 10 10 1.724 2.083 2.182
1980 10 11 1.491 2.115 3.376
1980 10 12 1.765 2.255 3.371
1980 10 13 2.592 2.856 3.374
1980 10 14 2.488 3.321 3.396
1980 10 15 2.553 3.134 2.808
1980 10 16 3.291 3.710 1.941
1980 10 17 2.670 3.277 2.832
1980 10 18 3.698 3.497 3.281
1980 10 19 3.699 4.290 3.273
1980 10 20 3.688 4.125 3.449
1980 10 21 2.412 3.402 3.451
1980 10 22 1.764 2.590 3.452
1980 10 23 1.313 1.900 3.453
1980 10 24 0.973 1.248 3.026
1980 10 25 1.823 2.099 2.184
1980 10 26 2.907 2.994 3.457
1980 10 27 2.158 2.395 3.459
1980 10 28 2.507 3.455 3.460
1980 10 29 1.528 2.154 2.115
1980 10 30 1.796 2.428 3.463
1980 10 31 4.442 5.428 3.464
1980 11 1 2.318 2.916 2.182
1980 11 2 3.246 3.749 2.200
1980 11 3 3.268 3.819 2.350
1980 11 4 3.699 4.148 2.351
1980 11 5 4.275 4.346 3.808
1980 11 6 3.056 2.556 3.801
1980 11 7 3.187 4.245 3.775
1980 11 8 4.033 4.483 3.751
1980 11 9 1.631 1.769 3.855
1980 11 10 2.895 3.601 3.857
1980 11 11 0.745 1.554 3.101
1980 11 12 2.213 3.454 3.085
1980 11 13 2.549 3.570 2.165
1980 11 14 4.504 5.311 2.121
1980 11 15 3.741 4.546 2.080
1980 11 16 4.105 4.527 3.045
1980 11 17 3.950 4.135 3.655
1980 11 18 4.006 4.383 1.948
1980 11 19 1.155 1.809 1.914
1980 11 20 2.785 3.316 2.084
1980 11 21 3.266 3.441 2.121
1980 11 22 3.734 3.727 3.242
1980 11 23 3.332 3.503 3.328
1980 11 24 2.198 3.132 3.776
1980 11 25 4.544 5.251 2.256
1980 11 26 3.570 4.284 2.004
1980 11 27 3.690 4.679 1.900
1980 11 28 2.030 2.386 2.345
1980 11 29 1.899 1.821 3.376
1980 11 30 2.479 2.862 3.446
1980 12 1 3.750 3.937 3.454
1980 12 2 2.021 1.716 3.821
1980 12 3 4.441 4.944 4.116
1980 12 4 3.275 3.903 4.119
1980 12 5 2.763 3.280 4.120
1980 12 6 3.878 4.104 4.120
1980 12 7 3.595 4.278 4.121
1980 12 8 4.841 5.792 3.010
1980 12 9 5.077 5.703 2.404
1980 12 10 4.281 4.553 4.120
1980 12 11 5.211 5.593 4.074
1980 12 12 2.427 2.845 4.092
1980 12 13 3.190 4.288 4.108
1980 12 14 5.186 6.152 4.122
1980 12 15 4.509 5.644 2.738
1980 12 16 4.654 5.911 2.383
1980 12 17 5.191 6.051 2.302
1980 12 18 5.545 5.664 3.973
1980 12 19 1.990 2.042 3.945
1980 12 20 1.802 1.634 4.113
1980 12 21 1.587 1.928 4.146
1980 12 22 2.137 2.554 4.126
1980 12 23 2.529 2.945 4.113
1980 12 24 2.241 2.501 4.121
1980 12 25 3.633 4.437 3.625
1980 12 26 3.614 4.568 2.742
1980 12 27 3.297 3.357 4.123
1980 12 28 3.402 3.709 4.123
1980 12 29 4.125 5.069 4.123
1980 12 30 3.783 4.493 3.519
1980 12 31 4.078 4.868 3.278
1981 1 1 5.060 5.678 4.014
1981 1 2 5.046 5.621 2.570
1981 1 3 4.742 5.532 2.916
1981 1 4 2.953 2.920 3.940
1981 1 5 2.528 2.957 3.932
1981 1 6 3.768 3.639 4.013
1981 1 7 2.938 3.462 4.010
1981 1 8 1.068 2.040 2.777
1981 1 9 2.161 3.105 3.143
1981 1 10 2.526 3.030 3.276
1981 1 11 2.416 3.283 3.782
1981 1 12 3.319 3.887 3.193
1981 1 13 4.785 4.993 3.714
1981 1 14 3.742 4.317 3.855
1981 1 15 3.321 3.630 3.880
1981 1 16 3.106 4.002 3.893
1981 1 17 3.314 3.943 2.838
1981 1 18 4.573 4.237 3.804
1981 1 19 4.092 4.038 3.724
1981 1 20 3.590 4.070 3.942
1981 1 21 3.867 4.730 4.016
1981 1 22 1.432 2.366 2.712
1981 1 23 2.724 3.435 2.520
1981 1 24 3.236 3.808 2.827
1981 1 25 2.544 3.278 2.546
1981 1 26 2.959 3.970 2.412
1981 1 27 3.768 4.710 2.558
1981 1 28 4.230 4.991 2.164
1981 1 29 4.239 4.196 2.469
1981 1 30 1.838 1.778 3.605
1981 1 31 2.396 2.730 3.872
1981 2 1 3.512 4.015 2.619
1981 2 2 4.954 4.661 3.749
1981 2 3 4.372 4.593 3.787
1981 2 4 3.881 4.258 3.813
1981 2 5 2.984 3.023 3.812
1981 2 6 2.286 2.101 3.811
1981 2 7 2.085 2.482 3.555
1981 2 8 4.698 5.136 3.244
1981 2 9 5.359 5.467 2.665
1981 2 10 4.857 4.825 3.725
1981 2 11 3.758 4.128 3.786
1981 2 12 4.938 5.685 3.766
1981 2 13 4.500 4.504 3.763
1981 2 14 2.908 2.921 3.757
1981 2 15 4.630 5.322 2.837
1981 2 16 3.519 3.872 2.832
1981 2 17 4.004 4.898 2.549
1981 2 18 4.927 5.169 2.151
1981 2 19 4.581 4.543 3.789
1981 2 20 3.452 3.922 3.759
1981 2 21 3.204 3.472 3.536
1981 2 22 3.158 3.639 3.716
1981 2 23 2.776 3.548 3.046
1981 2 24 4.039 3.911 3.361
1981 2 25 3.648 4.426 3.634
1981 2 26 4.353 4.414 3.281
1981 2 27 4.656 4.588 2.744
1981 2 28 4.029 4.565 3.536
1981 3 1 2.190 2.879 3.468
1981 3 2 3.778 3.895 1.816
1981 3 3 3.441 4.041 3.362
1981 3 4 1.298 2.165 3.217
1981 3 5 2.285 2.706 1.705
1981 3 6 3.663 3.494 3.234
1981 3 7 3.231 3.124 3.216
1981 3 8 3.145 3.516 3.323
1981 3 9 3.007 3.589 3.537
1981 3 10 3.048 3.932 2.104
1981 3 11 3.235 4.140 2.010
1981 3 12 3.297 4.140 1.728
1981 3 13 3.061 3.897 1.657
1981 3 14 3.085 3.801 1.486
1981 3 15 2.425 3.048 2.022
1981 3 16 1.896 2.054 1.741
1981 3 17 1.615 2.419 3.046
1981 3 18 2.147 3.047 1.404
1981 3 19 3.271 3.824 1.502
1981 3 20 2.631 3.055 2.072
1981 3 21 2.593 3.643 1.666
1981 3 22 3.160 4.025 1.129
1981 3 23 3.004 3.624 1.082
1981 3 24 3.029 3.671 1.038
1981 3 25 3.359 4.002 1.011
1981 3 26 2.550 3.121 1.050
1981 3 27 3.029 2.774 1.585
1981 3 28 2.944 2.689 2.645
1981 3 29 2.045 2.161 2.962
1981 3 30 3.410 3.805 3.344
1981 3 31 2.871 3.216 3.280
1981 4 1 1.959 2.720 2.714
1981 4 2 1.566 2.298 1.674
1981 4 3 2.494 2.473 2.312
1981 4 4 2.678 3.195 2.982
1981 4 5 2.977 3.840 1.936
1981 4 6 2.233 2.883 1.222
1981 4 7 2.305 2.877 1.176
1981 4 8 2.264 2.252 1.298
1981 4 9 1.920 2.118 2.817
1981 4 10 2.325 3.127 1.253
1981 4 11 1.927 2.418 1.123
1981 4 12 2.454 3.165 1.008
1981 4 13 2.900 2.918 1.075
1981 4 14 2.446 2.307 2.428
1981 4 15 1.699 2.004 2.644
1981 4 16 1.915 2.623 2.771
1981 4 17 1.837 2.284 1.598
1981 4 18 1.625 2.269 1.800
1981 4 19 1.613 2.104 1.205
1981 4 20 2.081 2.685 1.146
1981 4 21 2.268 2.750 1.088
1981 4 22 2.272 2.591 1.200
1981 4 23 1.890 2.058 2.739
1981 4 24 1.669 1.378 2.732
1981 4 25 2.063 1.604 2.739
1981 4 26 1.839 1.440 3.296
1981 4 27 1.180 0.847 3.354
1981 4 28 1.600 1.584 3.352
1981 4 29 1.694 2.684 3.350
1981 4 30 2.037 2.841 1.653
1981 5 1 1.372 1.943 1.557
1981 5 2 1.282 1.767 1.528
1981 5 3 2.407 2.048 1.761
1981 5 4 2.125 2.366 3.121
1981 5 5 2.155 2.332 1.642
1981 5 6 2.904 2.399 3.071
1981 5 7 2.519 2.430 2.540
1981 5 8 1.333 1.767 1.597
1981 5 9 2.103 2.437 1.394
1981 5 10 1.708 2.261 1.339
1981 5 11 1.807 2.216 1.288
1981 5 12 1.884 2.503 1.239
1981 5 13 1.884 2.187 1.194
1981 5 14 1.697 1.995 1.237
1981 5 15 2.089 2.351 1.797
1981 5 16 1.351 1.363 1.872
1981 5 17 1.853 1.913 2.179
1981 5 18 1.868 1.590 2.630
1981 5 19 2.163 1.998 2.622
1981 5 20 0.853 1.112 1.977
1981 5 21 0.875 1.379 1.067
1981 5 22 0.838 1.261 1.438
1981 5 23 1.428 1.714 1.385
1981 5 24 1.128 1.458 0.973
1981 5 25 1.705 2.068 0.948
1981 5 26 0.912 0.813 1.653
1981 5 27 1.654 1.544 2.445
1981 5 28 1.280 1.874 2.591
1981 5 29 1.498 1.942 1.173
1981 5 30 1.225 2.158 1.049
1981 5 31 0.881 1.351 1.089
1981 6 1 1.674 1.885 1.298
1981 6 2 1.932 1.875 1.387
1981 6 3 2.145 2.027 2.378
1981 6 4 1.015 1.632 1.215
1981 6 5 1.403 1.264 1.490
1981 6 6 1.278 0.554 2.475
1981 6 7 1.681 1.625 2.539
1981 6 8 2.076 2.847 2.905
1981 6 9 1.314 1.510 1.759
1981 6 10 1.059 1.431 2.175
1981 6 11 1.730 1.631 2.883
1981 6 12 0.315 0.732 1.533
1981 6 13 1.423 2.184 1.478
1981 6 14 0.910 1.641 1.371
1981 6 15 1.081 0.916 1.644
1981 6 16 1.396 1.427 2.762
1981 6 17 1.139 1.472 1.263
1981 6 18 1.600 1.758 1.305
1981 6 19 1.739 1.657 1.173
1981 6 20 1.440 1.324 1.857
1981 6 21 1.097 1.575 1.170
1981 6 22 0.768 1.116 1.135
1981 6 23 1.378 0.785 1.730
1981 6 24 1.353 1.162 2.475
1981 6 25 1.119 1.258 1.849
1981 6 26 1.464 1.807 1.112
1981 6 27 1.542 2.045 1.075
1981 6 28 1.257 1.762 1.056
1981 6 29 1.223 1.298 1.171
1981 6 30 2.140 1.979 2.458
1981 7 1 2.094 1.431 2.378
1981 7 2 1.688 1.909 2.473
1981 7 3 0.877 1.300 1.608
1981 7 4 0.904 1.088 1.366
1981 7 5 0.904 1.104 1.537
1981 7 6 1.308 1.213 2.568
1981 7 7 1.242 1.281 2.533
1981 7 8 1.111 1.127 2.026
1981 7 9 1.419 1.502 1.761
1981 7 10 1.079 1.178 1.303
1981 7 11 1.478 1.471 1.403
1981 7 12 1.326 1.849 1.685
1981 7 13 1.625 1.754 1.161
1981 7 14 1.447 1.925 0.985
1981 7 15 1.784 2.056 0.956
1981 7 16 1.846 2.021 1.251
1981 7 17 1.878 1.895 2.041
1981 7 18 1.108 1.395 0.933
1981 7 19 1.113 1.539 0.866
1981 7 20 0.932 1.107 2.222
1981 7 21 1.264 1.710 2.247
1981 7 22 1.158 1.484 1.327
1981 7 23 0.472 0.546 1.366
1981 7 24 1.318 1.548 2.333
1981 7 25 1.193 1.103 2.431
1981 7 26 1.545 1.675 2.768
1981 7 27 1.253 1.552 1.508
1981 7 28 1.317 2.163 1.496
1981 7 29 1.452 2.117 1.615
1981 7 30 1.634 2.414 1.494
1981 7 31 1.603 2.266 1.364
1981 8 1 1.852 2.269 1.490
1981 8 2 1.678 2.361 1.548
1981 8 3 1.767 2.384 1.343
1981 8 4 1.834 2.352 1.292
1981 8 5 1.932 2.465 1.245
1981 8 6 1.849 2.476 1.201
1981 8 7 2.116 2.382 1.708
1981 8 8 1.308 1.103 2.432
1981 8 9 0.834 1.195 2.535
1981 8 10 1.282 1.940 2.442
1981 8 11 1.080 1.657 1.437
1981 8 12 1.682 1.874 1.745
1981 8 13 1.921 2.346 2.415
1981 8 14 1.783 2.602 1.141
1981 8 15 1.690 2.532 1.103
