year month day p_brdwgd p_chirps p_cpc p_era5land p_mswep
1980 1 1 0.044 nan 0.000 0.002 0.000
1980 1 2 0.000 nan 0.000 0.000 0.000
1980 1 3 0.000 nan 0.039 0.116 0.000
1980 1 4 0.000 nan 0.000 2.008 0.290
1980 1 5 0.815 nan 0.734 4.344 0.132
1980 1 6 1.809 nan 0.796 0.271 6.692
1980 1 7 10.906 nan 9.782 17.855 9.196
1980 1 8 9.683 nan 7.374 11.205 13.778
1980 1 9 13.800 nan 17.094 33.504 7.715
1980 1 10 3.760 nan 5.934 14.776 4.015
1980 1 11 3.490 nan 3.683 0.039 0.000
1980 1 12 0.000 nan 0.071 0.380 4.644
1980 1 13 2.812 nan 2.940 0.329 0.724
1980 1 14 0.587 nan 0.708 1.153 0.214
1980 1 15 1.026 nan 1.191 1.590 1.924
1980 1 16 2.802 nan 5.271 3.260 6.042
1980 1 17 5.670 nan 6.498 7.848 9.741
1980 1 18 11.025 nan 14.558 14.576 9.160
1980 1 19 9.672 nan 12.308 8.842 1.618
1980 1 20 1.439 nan 4.051 2.986 0.330
1980 1 21 0.333 nan 0.435 0.312 0.079
1980 1 22 0.000 nan 0.010 0.294 0.024
1980 1 23 2.342 nan 1.163 2.307 5.780
1980 1 24 13.077 nan 13.169 61.901 17.830
1980 1 25 7.419 nan 9.617 12.259 2.078
1980 1 26 0.217 nan 0.518 0.887 0.007
1980 1 27 0.000 nan 0.126 0.431 0.014
1980 1 28 0.720 nan 0.913 20.163 7.770
1980 1 29 6.245 nan 5.026 0.344 0.087
1980 1 30 0.000 nan 0.000 0.171 0.000
1980 1 31 0.550 nan 0.220 7.489 3.334
1980 2 1 5.512 nan 3.906 10.912 4.086
1980 2 2 1.759 nan 2.148 1.573 0.304
1980 2 3 0.277 nan 0.568 0.904 0.005
1980 2 4 0.139 nan 0.055 0.780 0.000
1980 2 5 0.120 nan 0.216 0.238 0.063
1980 2 6 2.964 nan 1.441 6.022 6.320
1980 2 7 4.823 nan 4.071 1.679 2.786
1980 2 8 2.337 nan 2.288 1.117 0.137
1980 2 9 0.231 nan 0.447 1.351 0.118
1980 2 10 4.666 nan 3.212 8.263 14.182
1980 2 11 14.587 nan 12.115 15.257 8.833
1980 2 12 1.928 nan 2.316 3.706 0.158
1980 2 13 0.000 nan 0.246 2.264 0.030
1980 2 14 0.000 nan 0.066 0.167 0.000
1980 2 15 0.000 nan 0.072 0.416 6.289
1980 2 16 5.367 nan 3.605 0.909 1.755
1980 2 17 6.492 nan 5.721 14.963 15.663
1980 2 18 17.328 nan 15.431 3.766 2.942
1980 2 19 1.525 nan 1.596 0.241 0.768
1980 2 20 0.736 nan 0.785 0.232 0.117
1980 2 21 0.000 nan 0.010 1.487 1.392
1980 2 22 6.100 nan 4.271 15.957 5.016
1980 2 23 3.173 nan 3.106 15.558 3.942
1980 2 24 5.585 nan 13.373 10.764 0.930
1980 2 25 2.596 nan 3.250 13.246 8.689
1980 2 26 8.801 nan 9.140 14.002 4.010
1980 2 27 3.311 nan 4.966 18.077 7.503
1980 2 28 13.534 nan 9.470 12.172 19.867
1980 2 29 26.554 nan 20.014 17.142 57.595
1980 3 1 32.476 nan 27.705 0.932 9.046
1980 3 2 10.791 nan 9.862 3.355 8.429
1980 3 3 9.980 nan 10.605 14.163 10.381
1980 3 4 15.751 nan 17.034 1.576 13.871
1980 3 5 8.924 nan 9.955 0.749 0.300
1980 3 6 2.435 nan 2.600 0.655 8.413
1980 3 7 8.281 nan 12.632 17.826 3.650
1980 3 8 4.401 nan 3.672 24.633 18.497
1980 3 9 16.825 nan 13.714 12.696 2.403
1980 3 10 5.697 nan 6.160 8.163 4.933
1980 3 11 3.631 nan 4.497 16.268 1.462
1980 3 12 3.105 nan 3.057 9.776 11.796
1980 3 13 9.778 nan 10.907 11.101 7.591
1980 3 14 10.111 nan 11.624 5.113 2.965
1980 3 15 1.318 nan 1.122 3.380 0.098
1980 3 16 1.036 nan 0.397 1.109 0.175
1980 3 17 1.806 nan 1.735 2.701 2.654
1980 3 18 1.965 nan 1.320 1.821 1.290
1980 3 19 2.072 nan 1.361 0.879 0.750
1980 3 20 0.342 nan 0.669 0.229 0.058
1980 3 21 0.000 nan 0.000 0.429 0.000
1980 3 22 0.000 nan 0.000 0.079 0.000
1980 3 23 0.000 nan 0.000 0.060 0.000
1980 3 24 0.000 nan 0.005 0.175 0.202
1980 3 25 0.267 nan 0.218 0.259 0.044
1980 3 26 0.385 nan 0.261 1.781 5.513
1980 3 27 7.756 nan 4.898 8.371 28.653
1980 3 28 21.811 nan 20.329 1.034 0.647
1980 3 29 2.026 nan 2.769 22.175 7.135
1980 3 30 9.123 nan 9.563 2.718 2.570
1980 3 31 1.373 nan 1.615 0.470 0.142
1980 4 1 0.019 nan 0.012 1.714 1.159
1980 4 2 2.500 nan 2.697 0.209 0.566
1980 4 3 0.112 nan 0.131 0.244 0.059
1980 4 4 0.071 nan 0.152 0.395 0.044
1980 4 5 0.016 nan 0.000 0.254 0.000
1980 4 6 0.000 nan 0.038 0.281 0.000
1980 4 7 0.016 nan 0.062 0.260 0.016
1980 4 8 0.020 nan 0.094 0.466 0.009
1980 4 9 0.046 nan 0.185 0.558 0.013
1980 4 10 0.000 nan 0.027 0.919 0.048
1980 4 11 0.314 nan 0.193 1.524 0.347
1980 4 12 5.880 nan 3.752 7.234 10.366
1980 4 13 20.126 nan 18.486 31.799 15.441
1980 4 14 12.813 nan 11.122 28.623 24.010
1980 4 15 25.665 nan 27.028 8.533 15.879
1980 4 16 0.000 nan 0.316 0.149 0.000
1980 4 17 0.071 nan 0.109 0.099 0.031
1980 4 18 0.000 nan 0.095 0.018 0.045
1980 4 19 0.000 nan 0.009 0.029 0.153
1980 4 20 0.000 nan 0.000 0.017 0.000
1980 4 21 0.000 nan 0.000 0.063 0.000
1980 4 22 0.000 nan 0.000 0.122 0.000
1980 4 23 0.000 nan 0.000 0.217 0.094
1980 4 24 0.465 nan 0.636 0.158 0.094
1980 4 25 0.269 nan 0.413 0.093 0.043
1980 4 26 0.000 nan 0.007 0.148 0.009
1980 4 27 0.361 nan 0.251 0.125 0.111
1980 4 28 0.000 nan 0.003 0.016 0.000
1980 4 29 0.000 nan 0.156 0.077 0.000
1980 4 30 0.000 nan 0.000 0.082 0.111
1980 5 1 9.635 nan 8.611 34.864 31.593
1980 5 2 30.305 nan 27.182 14.496 12.514
1980 5 3 1.942 nan 2.445 8.431 1.445
1980 5 4 0.045 nan 0.246 0.004 0.000
1980 5 5 0.000 nan 0.000 0.000 0.000
1980 5 6 0.000 nan 0.200 0.000 0.000
1980 5 7 2.590 nan 1.925 6.074 6.251
1980 5 8 11.836 nan 11.502 7.418 10.938
1980 5 9 3.051 nan 2.701 4.038 7.646
1980 5 10 8.286 nan 6.091 19.638 7.272
1980 5 11 2.176 nan 1.924 0.651 0.031
1980 5 12 0.046 nan 1.139 0.052 0.023
1980 5 13 0.254 nan 0.547 0.203 0.158
1980 5 14 0.231 nan 0.324 0.189 0.007
1980 5 15 0.000 nan 0.053 0.080 0.000
1980 5 16 0.000 nan 0.041 1.601 1.327
1980 5 17 2.815 nan 3.184 2.799 0.843
1980 5 18 0.000 nan 0.149 1.841 0.065
1980 5 19 0.384 nan 0.790 9.071 0.275
1980 5 20 1.454 nan 0.919 4.153 6.564
1980 5 21 11.150 nan 9.212 9.267 12.776
1980 5 22 9.292 nan 7.769 5.437 8.376
1980 5 23 1.121 nan 0.816 0.141 0.199
1980 5 24 0.000 nan 0.000 0.013 0.000
1980 5 25 0.000 nan 0.057 0.108 0.000
1980 5 26 0.000 nan 0.000 0.167 0.000
1980 5 27 0.000 nan 0.000 0.104 0.000
1980 5 28 0.000 nan 0.000 0.004 0.000
1980 5 29 0.000 nan 0.064 0.813 0.000
1980 5 30 0.000 nan 0.000 0.075 0.000
1980 5 31 0.986 nan 0.528 1.365 7.405
1980 6 1 4.874 nan 3.698 10.829 3.401
1980 6 2 2.939 nan 2.476 0.451 0.116
1980 6 3 0.000 nan 0.000 0.004 0.000
1980 6 4 0.000 nan 0.000 0.000 0.000
1980 6 5 0.000 nan 0.000 0.009 0.000
1980 6 6 0.017 nan 0.338 0.000 0.000
1980 6 7 0.000 nan 0.000 0.000 0.000
1980 6 8 0.000 nan 0.003 0.072 0.000
1980 6 9 0.000 nan 0.000 0.016 0.000
1980 6 10 0.000 nan 0.008 0.000 0.000
1980 6 11 0.000 nan 0.000 0.000 0.000
1980 6 12 1.234 nan 0.645 0.049 0.906
1980 6 13 7.188 nan 7.869 13.540 8.276
1980 6 14 0.044 nan 0.080 0.125 0.000
1980 6 15 0.071 nan 0.089 0.025 0.025
1980 6 16 0.019 nan 0.070 0.013 0.001
1980 6 17 0.000 nan 0.000 0.000 0.000
1980 6 18 0.000 nan 0.000 0.000 0.000
1980 6 19 1.570 nan 1.207 3.949 3.309
1980 6 20 7.815 nan 8.947 21.243 11.051
1980 6 21 6.012 nan 6.550 2.924 2.462
1980 6 22 0.858 nan 1.869 0.048 0.048
1980 6 23 0.706 nan 0.899 0.089 0.012
1980 6 24 2.814 nan 1.597 2.119 3.883
1980 6 25 16.066 nan 14.434 25.848 29.374
1980 6 26 11.548 nan 12.114 0.870 0.508
1980 6 27 0.010 nan 0.159 0.000 0.000
1980 6 28 0.000 nan 0.152 0.002 0.000
1980 6 29 0.000 nan 0.047 0.000 0.000
1980 6 30 0.769 nan 0.355 2.303 1.274
1980 7 1 10.517 nan 9.065 21.768 12.727
1980 7 2 15.984 nan 15.254 11.188 9.131
1980 7 3 5.752 nan 6.513 1.705 4.069
1980 7 4 5.856 nan 6.317 4.042 4.790
1980 7 5 0.356 nan 1.039 1.676 0.046
1980 7 6 0.000 nan 0.109 0.552 0.000
1980 7 7 0.069 nan 0.025 0.274 0.689
1980 7 8 5.033 nan 2.351 1.021 7.314
1980 7 9 16.615 nan 16.937 2.674 14.017
1980 7 10 0.020 nan 0.095 1.441 0.032
1980 7 11 0.242 nan 0.227 0.732 0.160
1980 7 12 0.223 nan 0.275 0.473 0.002
1980 7 13 0.014 nan 0.182 7.971 0.260
1980 7 14 0.007 nan 0.027 1.320 0.026
1980 7 15 0.000 nan 0.000 0.255 0.024
1980 7 16 0.567 nan 0.751 0.000 0.084
1980 7 17 0.197 nan 0.315 0.297 0.019
1980 7 18 0.000 nan 0.186 0.153 0.000
1980 7 19 0.000 nan 0.000 0.009 0.000
1980 7 20 0.245 nan 0.264 0.496 0.484
1980 7 21 1.254 nan 2.698 1.100 0.766
1980 7 22 0.000 nan 0.000 0.017 0.000
1980 7 23 0.000 nan 0.006 0.000 0.000
1980 7 24 0.000 nan 0.000 0.049 0.000
1980 7 25 0.000 nan 0.045 0.171 0.000
1980 7 26 1.726 nan 0.818 0.003 1.497
1980 7 27 9.622 nan 10.023 2.819 11.365
1980 7 28 1.646 nan 1.178 0.844 2.393
1980 7 29 31.573 nan 23.611 49.612 38.419
1980 7 30 73.133 nan 77.386 55.177 45.311
1980 7 31 4.988 nan 4.989 0.008 0.051
1980 8 1 0.000 nan 0.048 0.000 0.000
1980 8 2 0.000 nan 0.000 0.001 0.000
1980 8 3 0.082 nan 0.121 0.478 0.072
1980 8 4 0.000 nan 0.083 0.291 0.000
1980 8 5 3.454 nan 1.221 2.963 3.959
1980 8 6 11.955 nan 12.729 24.096 15.342
1980 8 7 1.067 nan 1.034 0.140 0.078
1980 8 8 0.000 nan 0.000 0.033 0.002
1980 8 9 0.510 nan 0.578 0.005 0.000
1980 8 10 1.562 nan 1.518 0.216 0.613
1980 8 11 1.663 nan 2.451 1.215 0.174
1980 8 12 1.300 nan 1.597 0.890 0.004
1980 8 13 0.554 nan 0.644 0.276 0.000
1980 8 14 0.000 nan 0.021 0.009 0.005
1980 8 15 0.000 nan 0.021 0.050 0.000
1980 8 16 0.000 nan 0.008 0.010 0.000
1980 8 17 4.744 nan 4.343 8.749 6.202
1980 8 18 16.851 nan 26.474 10.731 19.516
1980 8 19 16.631 nan 15.757 41.753 23.006
1980 8 20 26.560 nan 26.749 64.746 35.545
1980 8 21 36.928 nan 38.924 17.034 20.942
1980 8 22 34.819 nan 33.592 42.843 42.358
1980 8 23 18.802 nan 22.135 0.282 0.709
1980 8 24 0.573 nan 0.848 0.880 2.007
1980 8 25 4.536 nan 5.382 3.792 5.280
1980 8 26 0.586 nan 2.251 1.155 0.054
1980 8 27 0.000 nan 0.064 0.007 0.000
1980 8 28 0.000 nan 0.000 0.004 0.000
1980 8 29 0.082 nan 0.264 0.223 0.033
1980 8 30 0.022 nan 0.324 0.248 0.000
1980 8 31 0.256 nan 0.416 1.569 1.267
1980 9 1 6.053 nan 5.489 13.922 13.237
1980 9 2 20.102 nan 20.092 41.937 19.147
1980 9 3 4.333 nan 3.815 2.958 1.280
1980 9 4 0.000 nan 0.000 0.535 0.000
1980 9 5 0.000 nan 0.000 0.000 0.000
1980 9 6 0.000 nan 0.068 0.000 0.000
1980 9 7 0.000 nan 0.000 0.000 0.000
1980 9 8 2.192 nan 0.916 1.113 0.735
1980 9 9 12.214 nan 11.703 33.629 14.166
1980 9 10 2.707 nan 2.182 0.056 0.142
1980 9 11 0.000 nan 0.139 0.017 0.000
1980 9 12 0.000 nan 0.065 0.011 0.000
1980 9 13 0.412 nan 0.247 0.388 0.383
1980 9 14 3.095 nan 1.948 2.904 9.246
1980 9 15 17.224 nan 14.922 18.957 22.006
1980 9 16 8.999 nan 10.860 0.408 1.103
1980 9 17 0.125 nan 0.187 0.021 0.020
1980 9 18 1.665 nan 0.671 0.504 0.225
1980 9 19 5.362 nan 5.061 3.199 7.689
1980 9 20 1.520 nan 1.382 11.786 7.712
1980 9 21 9.279 nan 11.897 11.179 9.885
1980 9 22 8.501 nan 11.109 0.433 0.998
1980 9 23 0.000 nan 0.117 0.026 0.000
1980 9 24 0.000 nan 0.000 0.089 0.000
1980 9 25 0.000 nan 0.000 0.054 0.099
1980 9 26 0.310 nan 0.410 0.066 0.043
1980 9 27 1.926 nan 1.679 0.034 1.133
1980 9 28 8.166 nan 8.318 35.240 16.239
1980 9 29 11.009 nan 11.685 6.764 1.432
1980 9 30 0.300 nan 1.011 0.054 0.000
1980 10 1 0.000 nan 0.050 0.421 0.013
1980 10 2 0.051 nan 0.138 0.590 0.026
1980 10 3 0.000 nan 0.069 0.063 0.002
1980 10 4 0.152 nan 0.351 3.519 0.586
1980 10 5 3.984 nan 3.651 5.866 3.012
1980 10 6 0.000 nan 0.216 0.065 0.000
1980 10 7 0.242 nan 0.384 1.632 0.801
1980 10 8 5.333 nan 4.862 12.389 18.634
1980 10 9 10.405 nan 11.784 0.395 0.074
1980 10 10 0.098 nan 0.073 2.491 0.359
1980 10 11 1.700 nan 1.876 4.992 1.688
1980 10 12 2.608 nan 2.755 10.339 8.720
1980 10 13 7.501 nan 6.081 5.218 12.354
1980 10 14 7.742 nan 5.743 1.879 1.022
1980 10 15 1.275 nan 1.783 0.266 0.018
1980 10 16 0.000 nan 0.030 0.042 0.002
1980 10 17 0.567 nan 0.864 0.230 0.104
1980 10 18 2.086 nan 2.183 10.815 22.811
1980 10 19 18.563 nan 14.539 5.331 3.200
1980 10 20 11.123 nan 10.544 7.290 16.992
1980 10 21 15.672 nan 15.574 14.735 16.584
1980 10 22 13.791 nan 16.214 6.963 13.895
1980 10 23 10.586 nan 11.296 1.575 2.700
1980 10 24 0.581 nan 0.554 0.843 0.207
1980 10 25 0.046 nan 0.088 0.366 0.000
1980 10 26 12.070 nan 5.676 9.795 11.250
1980 10 27 10.561 nan 8.143 8.036 32.672
1980 10 28 23.664 nan 23.991 12.307 3.520
1980 10 29 0.000 nan 0.012 3.631 0.097
1980 10 30 4.214 nan 2.839 15.287 16.021
1980 10 31 14.204 nan 15.470 0.484 0.320
1980 11 1 0.000 nan 0.000 0.347 0.000
1980 11 2 0.000 nan 0.023 0.037 0.000
1980 11 3 0.000 nan 0.014 0.182 0.000
1980 11 4 0.000 nan 0.108 0.335 0.094
1980 11 5 0.841 nan 1.409 0.135 0.299
1980 11 6 2.801 nan 1.787 10.448 15.361
1980 11 7 16.112 nan 16.440 6.556 1.577
1980 11 8 1.450 nan 1.335 2.019 1.706
1980 11 9 7.819 nan 6.684 41.477 13.198
1980 11 10 6.283 nan 6.114 6.478 1.987
1980 11 11 0.266 nan 0.727 5.101 0.484
1980 11 12 0.610 nan 1.174 1.828 0.013
1980 11 13 0.117 nan 0.015 0.715 0.000
1980 11 14 0.000 nan 0.000 0.148 0.000
1980 11 15 0.000 nan 0.000 0.029 0.036
1980 11 16 1.028 nan 0.852 0.791 1.064
1980 11 17 3.820 nan 3.093 0.832 1.217
1980 11 18 0.000 nan 0.062 0.128 0.000
1980 11 19 0.014 nan 0.008 1.102 0.004
1980 11 20 0.000 nan 0.003 2.267 0.290
1980 11 21 0.358 nan 0.313 8.870 2.275
1980 11 22 5.859 nan 5.226 2.235 5.630
1980 11 23 12.328 nan 14.011 18.882 14.011
1980 11 24 3.711 nan 8.359 1.880 0.386
1980 11 25 0.041 nan 0.116 0.824 0.047
1980 11 26 0.122 nan 0.083 0.117 0.042
1980 11 27 0.000 nan 0.000 0.140 0.000
1980 11 28 1.015 nan 0.462 1.757 2.408
1980 11 29 5.458 nan 4.912 12.021 13.459
1980 11 30 8.921 nan 8.152 11.523 2.636
1980 12 1 0.915 nan 0.672 8.244 9.256
1980 12 2 23.882 nan 18.677 19.694 51.074
1980 12 3 58.063 nan 57.707 8.870 4.075
1980 12 4 3.547 nan 3.816 19.206 6.578
1980 12 5 4.887 nan 6.714 2.541 9.219
1980 12 6 12.282 nan 12.261 9.619 7.937
1980 12 7 4.311 nan 2.982 5.238 0.513
1980 12 8 0.670 nan 0.925 0.017 0.001
1980 12 9 0.000 nan 0.003 0.129 0.190
1980 12 10 0.779 nan 0.948 13.140 6.421
1980 12 11 8.054 nan 10.659 18.420 9.353
1980 12 12 11.513 nan 12.120 18.650 8.170
